event_id,event_name,event_type,rarity,trigger_scene,unlock_sect_level,unlock_realm,event_content,opt1_desc,opt1_reward,opt1_punish,opt2_desc,opt2_reward,opt2_punish,opt3_desc,opt3_reward,opt3_punish,trigger_weight,cooldown_hour,is_counted_in_balance,base_value,level_factor,min_value,max_value,display_level,weight_decay,trigger_type,触发周期
R011,山泉引流,宗门常驻,优秀,宗门内,1,练气,山涧泉水可引至灵田，提升药草品质,引泉水浇田,草药品质提升（立即生效）,无,建造蓄水池,干旱季节产出保底+6%,无,,,,6,2160,true,,,,,,,monthly,
R012,煤矸伴生,宗门常驻,普通,宗门内,1,练气,挖矿挖出大量无用矸石，占了库房空间,丢弃矸石,kuangshi:15,无,培训矿工分拣技能,矿石杂质率永久降低,无,,,,10,2160,true,,,,,,,monthly,
R013,晨露凝灵,宗门常驻,普通,宗门内,1,练气,清晨药草上凝结大量灵露,收集灵露,lingqi:30,无,研究灵露成因,晨露触发概率永久+5%,无,,,,10,2160,true,,,,,,,monthly,
R014,地脉微动,宗门常驻,优秀,宗门内,1,练气,脚下地脉轻微震动，矿洞产能临时波动,停工避险,无伤亡（立即安全）,无,安装地震预警,矿难概率永久-4%,无,,,,6,2160,true,,,,,,,monthly,
R015,野生药苗,宗门常驻,优秀,宗门内,1,练气,后山发现一片野生低阶药苗,蹲身细看，发现苗间灵气流转,无变化,无,就地保护采摘,草药+6，后续每月可再采摘一次,无,,,,6,2160,true,,,,,,,monthly,
R016,阵旗老化,宗门常驻,普通,宗门内,1,练气,聚灵阵阵旗出现老化迹象,更换老化阵旗,消耗30灵石，灵气产出恢复（立即）,无,订购优质阵旗,阵旗寿命延长50%,无,,,,10,2160,true,,,,,,,monthly,
R017,灵石矿脉线索,宗门常驻,传说,宗门内,1,练气,矿工挖到疑似灵石矿的线索,投入少量灵石勘探,消耗20灵石，10%发现小矿（立即）,无,标记线索存档,后续勘探成本-30%,无,,,,0.5,4320,true,,,,,,,monthly,
R018,谷仓生霉,宗门常驻,普通,宗门内,1,练气,储存的普通谷物受潮发霉,丢弃霉变谷物,无损失（立即止损）,无,改造谷仓通风,谷物保存期永久延长,无,,,,10,2160,true,,,,,,,monthly,
R019,灵蜂采蜜,宗门常驻,优秀,宗门内,1,练气,一群灵蜂在药田采蜜，有助于药草授粉,收集灵蜂蜜,灵蜂蜜×1（立即）,无,留蜂筑巢引种,药田授粉效率永久+2%,无,,,,6,2160,true,,,,,,,monthly,
R020,矿洞渗水,宗门常驻,普通,宗门内,1,练气,底层矿道出现渗水,抽水加固,消耗15灵石，矿洞正常（立即）,无,修建防水隔层,渗水风险永久-20%,无,,,,10,2160,true,,,,,,,monthly,
R021,百年老药,宗门常驻,优秀,宗门内,1,练气,灵田角落长出一株百年份草药,采摘百年草药,lingcao:1,无,留种培育,高阶草药解锁概率+12%,无,,,,6,2160,true,,,,,,,monthly,
R022,灵气散逸,宗门常驻,普通,宗门内,1,练气,库房灵气封印松动，部分灵气散逸,加固灵气封印,消耗10灵石，灵气停止流失（立即）,无,升级封印阵法,灵气保存率永久+5%,无,,,,10,2160,true,,,,,,,monthly,
R023,火山灰肥,宗门常驻,优秀,宗门内,1,练气,远处火山飘落的灰屑可做肥料,收集火山灰施肥,当日草药产出+3%（立即）,无,储备火山灰,未来三年肥料自给自足,无,,,,6,2160,true,,,,,,,monthly,
R024,水底沉矿,宗门常驻,普通,宗门内,1,练气,山涧水底发现裸露矿石,下水打捞矿石,kuangshi:35,无,标记水域矿点,水下矿点开采效率永久提升,无,,,,10,2160,true,,,,,,,monthly,
R025,先天灵壤,宗门常驻,稀有,宗门内,1,练气,翻地时挖出一小捧先天灵壤,撒入灵田,灵田产能永久+1级（立即）,无,分株培植,灵壤效果扩散至周边地块,无,,,,2,2160,true,,,,,,,monthly,
D001,修炼瓶颈,宗门常驻,普通,宗门内,1,练气,一名弟子卡在炼气瓶颈，迟迟无法突破,亲自指点功法,弟子修为+30（立即）,无,传授突破心得,弟子突破概率永久+5%,无,,,,10,2160,true,,,,,,,monthly,
D002,弟子争执,宗门常驻,普通,宗门内,1,练气,两名弟子因修炼资源分配起了争执,秉公分配资源,两名弟子好感各+2（立即）,无,制定公平规则,未来争执概率-20%,无,,,,10,2160,true,,,,,,,monthly,
D003,下山采购,宗门常驻,普通,宗门内,1,练气,弟子申请下山采购物资,细问缘由，弟子道出心结,无变化,无,驳回节省灵石,弟子好感-3,无,,,,10,2160,true,,,,,,,monthly,
D004,残页感悟,宗门常驻,优秀,宗门内,1,练气,弟子捡到一页破旧功法残页，似有感悟,当场研读残页,8%概率领悟低阶功法（立即）,无,抄录残页入藏经阁,宗门藏经厚度+1，造福后人,无,,,,6,2160,true,,,,,,,monthly,
D005,走火入魔,宗门常驻,稀有,宗门内,1,练气,弟子修炼心切出现轻微走火,运功镇压心魔,弟子修为保住（立即）,消耗30灵气,传稳定心法,弟子心魔抗性永久+10%,无,,,,2,2160,true,,,,,,,monthly,
D006,思乡心切,宗门常驻,普通,宗门内,1,练气,新入门弟子思念凡俗家人,准假回乡,弟子好感+10（立即）,无,安排代班弟子,离岗期间不影响修炼进度,无,,,,10,2160,true,,,,,,,monthly,
D007,天赋觉醒,宗门常驻,优秀,宗门内,1,练气,弟子修炼中意外觉醒微弱灵根天赋,当场赐药培养,弟子修为+8（立即）,消耗丹药×1,制定长期培养计划,弟子修炼增速+2%持续1年,无,,,,6,2160,true,,,,,,,monthly,
D008,切磋受伤,宗门常驻,普通,宗门内,1,练气,两名弟子私下切磋受了轻伤,罚禁闭思过,避免再犯（立即）,弟子好感-3,组织规范化切磋,弟子战斗经验获取效率+5%,无,,,,10,2160,true,,,,,,,monthly,
D009,杂役抱怨,宗门常驻,普通,宗门内,1,练气,杂役弟子抱怨任务太重,与杂役促膝长谈，知其家中困顿,无变化,无,置之不理,维持效率，杂役好感-3,无,,,,10,2160,true,,,,,,,monthly,
D010,丹道兴趣,宗门常驻,优秀,宗门内,1,练气,一名弟子对炼丹表现出浓厚兴趣,送入丹房实践,丹房产出+1%（立即）,该弟子修炼-4%,安排丹道系统学习,弟子丹道知识永久积累,无,,,,6,2160,true,,,,,,,monthly,
D011,深夜苦修,宗门常驻,普通,宗门内,1,练气,发现有弟子深夜仍在苦修,赏赐丹药,弟子修为+20，好感+8（立即）,消耗低阶丹药×1,建立夜修补给制度,全体弟子修炼效率+2%永久,无,,,,10,2160,true,,,,,,,monthly,
D012,凡俗仇怨,宗门常驻,优秀,宗门内,1,练气,弟子凡俗家族遭人欺负，想下山报仇,允许下山报仇,弟子心境提升（立即）,离岗2天,安抚家族赠礼,家族好感建立，后续声望+,无,,,,6,2160,true,,,,,,,monthly,
D013,双修道侣,宗门常驻,优秀,宗门内,1,练气,两名弟子互生情愫，提出结为道侣,主持双修仪式,两名弟子好感+6（立即）,无,安排合修洞府,双修效率永久+2%,无,,,,6,2160,true,,,,,,,monthly,
D014,邪功诱惑,宗门常驻,稀有,宗门内,1,练气,弟子捡到一本邪道功法，修炼速度极快,当场销毁邪功,杜绝隐患（立即）,弟子好感-2,开展功法辨别教育,全宗功法辨别力永久提升,无,,,,2,2160,true,,,,,,,monthly,
D015,师门传承,宗门常驻,普通,宗门内,1,练气,老弟子想把自己的经验传给新弟子,开坛讲道,新弟子修为+10（立即）,无,建立师徒传承制,新弟子成长速度永久+3%,无,,,,10,2160,true,,,,,,,monthly,
D016,灵根异变,宗门常驻,优秀,宗门内,1,练气,弟子突破时灵根出现轻微异变,稳扎稳打巩固,修为+6，无风险（立即）,无,记录异变特征,灵根异变研究知识+1,无,,,,6,2160,true,,,,,,,monthly,
D017,弟子辞行,宗门常驻,优秀,宗门内,1,练气,一名弟子觉得宗门太弱，想另投他处,发放路费送行,名声小幅提升（立即）,弟子好感+2,改善宗门条件,弟子满意度永久提高,无,,,,6,2160,true,,,,,,,monthly,
D018,药膳滋补,宗门常驻,普通,宗门内,1,练气,弟子想用药膳辅助修炼,批准药膳供应,当月修炼速度+10%（立即）,消耗草药×5,开辟药膳专项田,药膳成本永久降低20%,无,,,,10,2160,true,,,,,,,monthly,
D019,剑道感悟,宗门常驻,优秀,宗门内,1,练气,弟子观云悟剑，似有心得,静立一旁，观其悟剑入神,无变化,无,让弟子闭关参悟,1天后获得剑道心得,无,,,,6,2160,true,,,,,,,monthly,
D020,弟子生病,宗门常驻,普通,宗门内,1,练气,一名弟子感染风寒，修炼停滞,抓药医治,3天后痊愈（立即处理）,消耗草药×3,普及防疫知识,宗门疫病概率永久-15%,无,,,,10,2160,true,,,,,,,monthly,
D021,记名拜师,宗门常驻,优秀,宗门内,1,练气,有弟子想正式拜你为师,收为记名弟子,弟子好感+8（立即）,无,制定精英培养方案,弟子成长潜力永久+4%,无,,,,6,2160,true,,,,,,,monthly,
D022,偷奸耍滑,宗门常驻,普通,宗门内,1,练气,发现弟子修炼时偷懒摸鱼,严厉惩罚,立竿见影的震慑（立即）,弟子好感-5,建立考勤奖惩制,修炼风气永久改善,无,,,,10,2160,true,,,,,,,monthly,
D023,血脉觉醒,宗门常驻,稀有,宗门内,1,练气,弟子体内微弱的修仙血脉突然觉醒,全力培养,弟子潜力立即激发（立即）,消耗大量资源,制定血脉培养路线,觉醒效果随境界提升扩大,无,,,,2,2160,true,,,,,,,monthly,
D024,书信往来,宗门常驻,普通,宗门内,1,练气,弟子收到家信，心绪不宁,批假平复心情,弟子好感+5（立即）,修炼停滞1天,改善家书传递,弟子思乡情绪降低，效率+3%,无,,,,10,2160,true,,,,,,,monthly,
D025,临终传功,宗门常驻,稀有,宗门内,1,练气,一名年迈外门弟子想把毕生修为传给后辈,同意传功,低阶弟子修为+50（立即）,无,建立传功制度,宗门修为传承效率永久+10%,无,,,,2,2160,true,,,,,,,monthly,
E001,受伤散修,野外历练,普通,历练结算,1,练气,路边遇到一名受伤的低阶散修,出手救治散修,lingshi:30,消耗草药×5,结交散修人脉,散修情报网络铺开，后续收益,无,,,,10,2160,true,,,,,,,monthly,
E002,山贼劫道,野外历练,普通,历练结算,1,练气,一伙山贼拦住去路索要买路财,剿灭山贼,lingshi:40,无,清理周边匪患,历练路线安全度永久提升,无,,,,10,2160,true,,,,,,,monthly,
E003,废弃洞府,野外历练,稀有,历练结算,1,练气,发现一座前人废弃的小型洞府,仔细搜刮洞府,灵石+25，草药+15（立即）,无,测绘洞府地图,类似洞府发现概率永久+5%,无,,,,2,2160,true,,,,,,,monthly,
E004,商队同行,野外历练,普通,历练结算,1,练气,遇到一支赶路的商队，邀请同行,与商队领队攀谈，得知前方消息,无变化,无,独自赶路,正常奖励，额外获得少量矿石,无,,,,10,2160,true,,,,,,,monthly,
E005,野生妖兽,野外历练,普通,历练结算,1,练气,撞见一头低阶妖兽在觅食,猎杀妖兽取材,妖兽材料（立即）,弟子小幅掉血,追踪妖兽巢穴,妖兽分布情报，持续收益来源,无,,,,10,2160,true,,,,,,,monthly,
E006,山涧灵草,野外历练,优秀,历练结算,1,练气,山涧边长着几株野生灵草,采摘灵草,lingcao:8,无,记录生长环境,灵草引种技术积累,无,,,,6,2160,true,,,,,,,monthly,
E007,迷雾森林,野外历练,稀有,历练结算,1,练气,前方出现一片诡异迷雾,穿雾探索,30%概率获机缘（立即）,70%迷路浪费时间,绘制迷雾地图,迷雾区域探索效率永久提升,无,,,,2,2160,true,,,,,,,monthly,
E008,其他宗门弟子,野外历练,普通,历练结算,1,练气,遇到其他宗门的历练弟子,交换物资,少量物资（立即）,无,建立宗门通讯录,宗门间关系网络+1,无,,,,10,2160,true,,,,,,,monthly,
E009,落石滑坡,野外历练,普通,历练结算,1,练气,山路突发小型落石滑坡,快速冲过落石区,节省时间（立即）,弟子轻伤,清理落石路段,该路段通行永久安全,无,,,,10,2160,true,,,,,,,monthly,
E010,古战场遗迹,野外历练,优秀,历练结算,1,练气,路过一片古战场边缘,简单搜寻,破损兵器若干（立即）,无,标记古战场坐标,古战场探索线索积累,无,,,,6,2160,true,,,,,,,monthly,
E011,乞讨老者,野外历练,优秀,历练结算,1,练气,路边有个衣衫褴褛的老者乞讨,施舍灵石,老者道谢离开（立即）,消耗4灵石,打听老者来历,隐藏高人线索+1,无,,,,6,2160,true,,,,,,,monthly,
E012,灵果树,野外历练,普通,历练结算,1,练气,发现一棵结满果实的低阶灵果树,采摘灵果,灵果×5（立即）,无,移植灵果树苗,宗门果树园筹建基础,无,,,,10,2160,true,,,,,,,monthly,
E013,地下暗河,野外历练,稀有,历练结算,1,练气,发现一条地下暗河入口,沿河探索,25%概率发现秘境（立即）,75%一无所获,记录水文特征,地下河分布图补全,无,,,,2,2160,true,,,,,,,monthly,
E014,劫后余粮,野外历练,优秀,历练结算,1,练气,发现被山贼遗弃的粮草物资,运回物资,lingshi:6|lingcao:4,无,赈济周边村民,宗门凡人声望+，香火铺垫,无,,,,6,2160,true,,,,,,,monthly,
E015,毒瘴区域,野外历练,普通,历练结算,1,练气,前方区域弥漫着低阶毒瘴,服解毒丹穿越,快速通过（立即）,消耗解毒丹×1,采集毒瘴样本,解毒丹配方优化基础,无,,,,10,2160,true,,,,,,,monthly,
E016,修士斗法,野外历练,稀有,历练结算,1,练气,远处有两名修士在斗法，似有宝物争夺,远远避开,无风险（立即安全）,无,收集斗法情报,高阶修士行为规律记录,无,,,,2,2160,true,,,,,,,monthly,
E017,山神庙,野外历练,普通,历练结算,1,练气,山脚下有一座破旧的山神庙,上香一炷，默祷平安,无变化,无,直接离开,无变化,无,,,,10,2160,true,,,,,,,monthly,
E018,矿脉露头,野外历练,优秀,历练结算,1,练气,历练路上发现裸露的矿脉痕迹,标记矿脉位置,宗门回禀奖励（立即）,无,详细勘探储量,矿脉开采方案优化,无,,,,6,2160,true,,,,,,,monthly,
E019,逃犯悬赏,野外历练,稀有,历练结算,1,练气,遇到官府通缉的凡人逃犯,拿下逃犯领赏,灵石+50，正道声望+（立即）,无,审问逃犯背景,情报网络节点+1,无,,,,2,2160,true,,,,,,,monthly,
E020,藤蔓阻路,野外历练,普通,历练结算,1,练气,大量藤蔓挡住去路,砍断藤蔓,正常通过（立即）,消耗少量时间,记录藤蔓分布,草药采集路线开拓,无,,,,10,2160,true,,,,,,,monthly,
E021,丹炉残骸,野外历练,优秀,历练结算,1,练气,发现一座废弃丹房的残骸,翻找丹渣,药渣可做肥料（立即）,无,测绘丹房地基,古丹方线索+1,无,,,,6,2160,true,,,,,,,monthly,
E022,狼群围堵,野外历练,普通,历练结算,1,练气,被一群野狼围堵,正面突围,狼皮材料（立即）,弟子受伤,追踪狼群巢穴,妖兽活动规律掌握,无,,,,10,2160,true,,,,,,,monthly,
E023,天降异光,野外历练,传说,历练结算,1,练气,天边一道异光坠落附近,赶去查看异光,5%概率得天材地宝（立即）,95%空跑一趟,询问附近居民,天降异象规律研究基础,无,,,,0.5,4320,true,,,,,,,monthly,
E024,采药老农,野外历练,普通,历练结算,1,练气,遇到一位上山采药的老农,采买草药,lingcao:40,消耗20灵石,交流采药心得,弟子丹道经验积累,无,,,,10,2160,true,,,,,,,monthly,
E025,传送残阵,野外历练,传说,历练结算,1,练气,发现一座半毁的上古传送阵,研究传送阵,10%解锁隐藏点（立即）,消耗大量灵石,拓印阵纹留档,传送阵知识积累+1,无,,,,0.5,4320,true,,,,,,,monthly,
V001,游方郎中,宗门常驻,普通,宗门内,1,练气,一位游方郎中登门拜访，可帮弟子诊治,请入内看诊,消耗20灵石，全体弟子小幅恢复状态,无,婉言谢绝,无,无,,,,10,2160,true,,,,,,,monthly,
V002,杂货商人,宗门常驻,普通,宗门内,1,练气,行商推着杂货车到山门外售卖,开门交易,可购买随机物资,无,闭门不接,无,无,,,,10,2160,true,,,,,,,monthly,
V003,求药凡人,宗门常驻,普通,宗门内,1,练气,山下村民上山求药，说家人重病,赠予草药,lingcao:5,无,闭门不见,节省草药,凡人好感-,,,,10,2160,true,,,,,,,monthly,
V004,说书先生,宗门常驻,优秀,宗门内,1,练气,一位说书先生想在宗门外讲书吸引人气,允许摆摊,宗门人气小幅提升，少量香火（铺垫S1）,无,驱离,无,无,,,,6,2160,true,,,,,,,monthly,
V005,散修拜师,宗门常驻,普通,宗门内,1,练气,一名低阶散修慕名而来，想拜入宗门,收下为外门,获得一名普通弟子,无,婉拒,无,无,,,,10,2160,true,,,,,,,monthly,
V006,风水先生,宗门常驻,稀有,宗门内,1,练气,风水先生称宗门地基有问题，可帮忙调整,花钱调整,消耗50灵石，聚灵阵效率永久+2%,无,不信这套,无,无,,,,2,2160,true,,,,,,,monthly,
V007,乞丐登门,宗门常驻,优秀,宗门内,1,练气,一个脏兮兮的乞丐上门讨饭,给些干粮,消耗少量物资，乞丐道谢离开,无,赶走,无,无,,,,6,2160,true,,,,,,,monthly,
V008,铁匠路过,宗门常驻,普通,宗门内,1,练气,一位铁匠路过宗门，可帮忙锻造装备,委托打造,消耗矿石+灵石，获得低阶装备,无,不用麻烦,无,无,,,,10,2160,true,,,,,,,monthly,
V009,正道信使,宗门常驻,优秀,宗门内,1,练气,正道盟派信使送来一封普通信函,热情接待,正道声望小幅+,无,冷淡处理,无,无,,,,6,2160,true,,,,,,,monthly,
V010,邪修密使,宗门常驻,优秀,宗门内,1,练气,一名遮遮掩掩的邪修密使上门想交易,秘密接见,可购买违禁丹药，邪道声望+,无,直接赶走,正道声望小幅+,无,,,,6,2160,true,,,,,,,monthly,
V011,画匠到访,宗门常驻,优秀,宗门内,1,练气,画匠想为宗门绘制全景图,出资请画,消耗12灵石，获得宗门画像（装饰道具）,无,谢绝,无,无,,,,6,2160,true,,,,,,,monthly,
V012,逃难百姓,宗门常驻,优秀,宗门内,1,练气,一群逃难的百姓想在山脚下落脚,收留安置,消耗大量物资，获得凡人香火大幅+（铺垫S1）,无,驱离,节省物资,凡人好感大幅-,,,,6,2160,true,,,,,,,monthly,
V013,丹师访友,宗门常驻,优秀,宗门内,1,练气,一位丹师路过拜访故人,请入丹房交流,丹房产出临时+8%持续1天,无,不打扰,无,无,,,,6,2160,true,,,,,,,monthly,
V014,收债修士,宗门常驻,普通,宗门内,1,练气,有修士上门称前宗门欠了他灵石,认账偿还,消耗50灵石，了结因果,无,拒不认账,节省灵石，对方放狠话离开，后续有小麻烦,无,,,,10,2160,true,,,,,,,monthly,
V015,戏班子,宗门常驻,普通,宗门内,1,练气,山下戏班子想上山演出,请进来演出,消耗20灵石，全体弟子好感+3,无,不允许,无,无,,,,10,2160,true,,,,,,,monthly,
V016,隐士高人,宗门常驻,传说,宗门内,1,练气,一位气质不凡的老者路过讨杯水喝,亲自奉茶,30%概率获得高人指点，全体弟子修为+,无,让弟子送水,无,无,,,,0.5,4320,true,,,,,,,monthly,
V017,粮商送货,宗门常驻,普通,宗门内,1,练气,粮商送来了预定的粮食,验收入库付款,消耗灵石，补充物资,无,找理由压价,少花10灵石,粮商好感-,,,,10,2160,true,,,,,,,monthly,
V018,道士化缘,宗门常驻,稀有,宗门内,1,练气,一位黄袍道士上门化缘,慷慨捐赠,消耗30灵石，道士留下一道平安符,无,少量施舍,消耗5灵石，无额外效果,无,,,,2,2160,true,,,,,,,monthly,
V019,猎户售药,宗门常驻,普通,宗门内,1,练气,后山猎户上山售卖采到的野生草药,全部买下,lingcao:45,无,挑好的买,消耗15灵石，草药+20,无,,,,10,2160,true,,,,,,,monthly,
V020,窃贼潜入,宗门常驻,普通,宗门内,1,练气,发现有窃贼潜入库房,当场抓获,追回失窃物资，窃贼送官,无,私下放了,窃贼分赃，额外获得灵石，有后续风险,无,,,,10,2160,true,,,,,,,monthly,
V021,媒婆说亲,宗门常驻,优秀,宗门内,1,练气,山下媒婆想给宗门弟子说亲,婉言谢绝,无,无,允许弟子自主选择,部分弟子好感+，可选择还俗成婚,无,,,,6,2160,true,,,,,,,monthly,
V022,书院先生,宗门常驻,优秀,宗门内,1,练气,山下书院先生想和宗门交流学问,请入交流,弟子心境小幅提升,无,闭门不见,无,无,,,,6,2160,true,,,,,,,monthly,
V023,钦差到访,宗门常驻,优秀,宗门内,1,练气,朝廷钦差派人上山宣旨,恭敬接旨,获得朝廷赏赐，凡人声望大幅+,无,不理世俗,拒绝接旨,朝廷好感-,,,,6,2160,true,,,,,,,monthly,
V024,魔物探子,宗门常驻,传说,宗门内,1,练气,发现疑似魔物的探子在宗门附近徘徊,出手拿下,正道声望+，获得魔物情报,无,暗中跟踪,10%概率发现魔物据点，90%打草惊蛇,无,,,,0.5,4320,true,,,,,,,monthly,
V025,故人来访,宗门常驻,优秀,宗门内,1,练气,宗主当年的故人登门拜访,盛情款待,消耗物资，获得一件旧友礼物,无,简单见面,无消耗，故人略有失望,无,,,,6,2160,true,,,,,,,monthly,
A001,灵气潮汐,昼夜专属,普通,登录,1,练气,今日天地灵气格外充沛,开阵全力吸纳,当日灵气产出+30%,无,平稳吸收即可,当日灵气产出+15%，无额外消耗,无,,,,10,2160,true,,,,,,,monthly,
A002,月华洒落,昼夜专属,普通,登录,1,练气,今夜月色皎洁，月华铺满宗门,组织弟子吐纳,全体弟子修为+10,无,正常作息,无,无,,,,10,2160,true,,,,,,,monthly,
A003,春雷惊蛰,昼夜专属,普通,登录,1,练气,一声春雷炸响，万物复苏,顺应天时播种,当日草药产出+25%,无,正常安排,无,无,,,,10,2160,true,,,,,,,monthly,
A004,天降甘霖,昼夜专属,普通,登录,1,练气,下了一场绵绵春雨，灵田滋润,疏通田垄,草药产出+20%持续3天,无,顺其自然,草药产出+10%持续2天,无,,,,10,2160,true,,,,,,,monthly,
A005,地脉震动,昼夜专属,优秀,登录,1,练气,地下传来轻微震动，似有地脉涌动,加固建筑,消耗少量灵石，避免建筑损坏,无,探查地脉,8%概率矿洞产能永久+2%,无,,,,6,2160,true,,,,,,,monthly,
A006,星象异动,昼夜专属,优秀,登录,1,练气,夜观星象发现紫薇星亮,是吉兆，嘉奖弟子,全体弟子好感+1,无,平常心对待,无,无,,,,6,2160,true,,,,,,,monthly,
A007,雾霾蔽日,昼夜专属,普通,登录,1,练气,连日雾霾，灵气浑浊,归藏山门静修,避免浊气入体，当日修炼效率-5%,无,照常活动,弟子小概率身体不适,无,,,,10,2160,true,,,,,,,monthly,
A008,霜降寒天,昼夜专属,普通,登录,1,练气,突降寒霜，气温骤降,添置御寒物资,消耗灵石，弟子不受影响,无,硬扛过去,部分弟子冻伤，修炼停滞1天,无,,,,10,2160,true,,,,,,,monthly,
A009,虹贯山门,昼夜专属,优秀,登录,1,练气,清晨一道彩虹横跨山门,视为吉兆，昭告弟子,宗门士气提升，当日效率+4%,无,不以为意,无,无,,,,6,2160,true,,,,,,,monthly,
A010,流星坠野,昼夜专属,传说,登录,1,练气,一颗流星坠落在宗门附近,派人查看,10%概率获得天外陨铁，90%空手而归,无,不妄动,无,无,,,,0.5,4320,true,,,,,,,monthly,
A011,东风送暖,昼夜专属,普通,登录,1,练气,和煦东风吹遍山野,安排弟子外出历练,今日历练幸运值提升,无,留在宗门建设,当日建设效率+10%,无,,,,10,2160,true,,,,,,,monthly,
A012,天狗食日,昼夜专属,稀有,登录,1,练气,出现日食，天地昏暗,闭门避险,无风险，当日产出-10%,无,开阵抗衡,消耗大量灵气，50%概率获得特殊增益,无,,,,2,2160,true,,,,,,,monthly,
A013,莲开并蒂,昼夜专属,优秀,登录,1,练气,灵池中一朵莲花开出并蒂,采摘入药,获得稀有灵植材料,无,留着观赏,弟子心境小幅提升,无,,,,6,2160,true,,,,,,,monthly,
A014,百鸟朝凤,昼夜专属,优秀,登录,1,练气,大量飞鸟聚集在宗门上空盘旋,视为祥瑞,宗门声望小幅提升,无,正常现象,无,无,,,,6,2160,true,,,,,,,monthly,
A015,暴雨倾盆,昼夜专属,普通,登录,1,练气,突降暴雨，山洪风险上升,加固防洪设施,消耗灵石，安全度过,无,听天由命,70%无事，30%冲毁部分灵田,无,,,,10,2160,true,,,,,,,monthly,
A016,秋高气爽,昼夜专属,普通,登录,1,练气,秋日天气晴朗，心旷神怡,加紧修炼建设,当日全效率+15%,无,安排休整,全体弟子好感+3,无,,,,10,2160,true,,,,,,,monthly,
A017,瑞雪兆丰年,昼夜专属,普通,登录,1,练气,冬日降下瑞雪,积雪肥田,来年草药产出小幅提升,无,组织赏雪,弟子好感+2,无,,,,10,2160,true,,,,,,,monthly,
A018,魔气泄露,昼夜专属,优秀,登录,1,练气,空气中隐约有魔气散逸,净化魔气,消耗灵气，消除隐患,无,暂时封存,后续概率触发魔物事件,无,,,,6,2160,true,,,,,,,monthly,
A019,佛光隐现,昼夜专属,优秀,登录,1,练气,远处山顶似有佛光一闪而过,派人参拜,消耗灵石，弟子心境提升,无,不涉佛道,无,无,,,,6,2160,true,,,,,,,monthly,
A020,龙脉吐息,昼夜专属,优秀,登录,1,练气,传说地下龙脉今日吐息,借势修炼,全体弟子修为+8,无,加固地脉,宗门建筑耐久永久提升,无,,,,6,2160,true,,,,,,,monthly,
A021,晨雾弥漫,昼夜专属,普通,登录,1,练气,清晨大雾弥漫，能见度极低,延迟外出活动,历练/外出推迟半天，安全,无,照常进行,小概率迷路，增加耗时,无,,,,10,2160,true,,,,,,,monthly,
