pet_id,pet_name,grade,sub_grade,pet_type,unlock_realm,active_skill,passive_buff,passive_value,daily_output,obtain_way,max_level,feed_cost_per_day,base_lifespan_year,skill_effect_type,skill_trigger_rate,skill_cooldown,skill_effect_value,is_skill_active,fallback_defense_bonus
pet_015,火灵狐,宝品,上品,丹道辅助,金丹后期,狐火助燃提升炼丹效率,炼丹成功率提升,5%,狐火晶×1+灵狐皮×1,高阶秘境收服,40,20,40,,0,0,0,false,
pet_016,火灵狐,宝品,极品,丹道辅助,金丹巅峰,狐火助燃附加火系伤害,炼丹成功率提升,6%,狐火晶×2,秘境BOSS收服,45,25,45,,0,0,0,false,
pet_017,金翅鹏,王品,下品,飞行战斗,元婴初期,高空俯冲攻击,商路速度提升+先手率提升,20%+10%,鹏羽×1,高阶秘境收服,40,30,60,,0,0,0,false,
pet_018,金翅鹏,王品,中品,飞行战斗,元婴中期,高空俯冲攻击,商路速度提升+先手率提升,25%+12%,鹏羽×1,高阶秘境收服,45,35,65,,0,0,0,false,
pet_019,金翅鹏,王品,上品,飞行战斗,元婴后期,高空俯冲群体攻击,商路速度提升+先手率提升,30%+15%,鹏羽×2,顶级秘境收服,50,40,70,,0,0,0,false,
pet_020,金翅鹏,王品,极品,飞行战斗,元婴巅峰,高空俯冲群体攻击,商路速度提升+先手率提升,35%+18%,鹏羽×2+金翅精血×1,秘境传说收服,55,45,80,,0,0,0,false,
pet_021,玄水龟,王品,下品,防御驮运,元婴初期,玄水护盾抵挡伤害,商队货损降低+护山大阵加成,12%+3%,龟甲×1,深海秘境收服,40,25,80,,0,0,0,false,
pet_022,玄水龟,王品,上品,防御驮运,元婴后期,玄水护盾全队减伤,商队货损降低+护山大阵加成,20%+5%,龟甲×1+玄水珠×1,深海秘境收服,50,35,100,,0,0,0,false,
pet_023,雷灵豹,王品,上品,战斗辅助,元婴后期,雷系扑击麻痹目标,战斗暴击率提升,10%,雷豹筋×1,雷系秘境收服,50,38,75,,0,0,0,false,
pet_024,麒麟幼崽,圣品,下品,全宗增益,化神初期,祥瑞之气小幅提升气运,全宗修炼速度提升,3%,麒麟鳞×1,传说奇遇/顶级秘境,50,80,200,,0,0,0,false,
pet_025,麒麟幼崽,圣品,中品,全宗增益,化神中期,祥瑞之气提升气运,全宗修炼速度提升,4%,麒麟鳞×1,顶级秘境收服,55,90,220,,0,0,0,false,
pet_026,麒麟幼崽,圣品,上品,全宗增益,化神后期,祥瑞之气大幅提升气运,全宗修炼速度提升+气运提升,5%+10%,麒麟鳞×1,终极奇遇,60,100,250,,0,0,0,false,
pet_027,麒麟幼崽,圣品,极品,全宗增益,化神巅峰,祥瑞之气笼罩全宗,全宗修炼速度提升+全属性提升,5%+5%,麒麟鳞×2,大道奇遇,65,120,300,,0,0,0,false,
pet_028,玄冰蛟,仙品,上品,战斗辅助,炼虚后期,玄冰吐息冻结群体,全队冰系伤害提升,15%,蛟鳞×1,极寒秘境传承,70,150,400,,0,0,0,false,
pet_029,真龙幼崽,道品,下品,全宗增益,合体期,龙威浩荡震慑敌方,全宗全属性提升,8%,龙鳞×1,终极传承,80,200,500,,0,0,0,false,
pet_030,真龙幼崽,道品,极品,全宗增益,渡劫期,真龙之威护佑全宗,全宗全属性提升+突破加成,10%+3%,龙鳞×2+龙元×1,大道本源传承,100,300,800,,0,0,0,false,
