recipe_id,名称,品阶,需求境界,需求境界序,材料描述,cost_herb,cost_ore,cost_jing,cost_stone,cost_qi,基础成功率,产出丹名,描述,来源
ip_016,冲窍丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,53,冲窍丹,宝品·中品：突破成功率提升 12.5%,item_pill
ip_017,破障丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,49,破障丹,宝品·上品：突破成功率提升 15.5%,item_pill
ip_018,体丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,45,体丹,宝品·极品：基础属性提升 19%,item_pill
ip_019,凝气丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,57,凝气丹,宝品·下品：修炼速度提升 10%,item_pill
ip_020,续命丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,53,续命丹,宝品·中品：气血恢复 12.5%,item_pill
ip_021,延寿丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,49,延寿丹,宝品·上品：特殊效果 15.5%,item_pill
ip_022,冲窍丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,42,冲窍丹,王品·下品：突破成功率提升 22%,item_pill
ip_023,力丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,39,力丹,王品·中品：基础属性提升 26%,item_pill
ip_024,洗髓丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,35,洗髓丹,王品·上品：特殊效果 30%,item_pill
ip_025,凝气丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,32,凝气丹,王品·极品：修炼速度提升 35%,item_pill
ip_026,续命丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,42,续命丹,王品·下品：气血恢复 22%,item_pill
ip_027,破障丹（王品）,王品,元婴,3,灵晶×8,0,0,8,0,0,39,破障丹,王品·中品：突破成功率提升 26%,item_pill
ip_028,延寿丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,30,延寿丹,圣品·下品：特殊效果 38%,item_pill
ip_029,固金丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,27,固金丹,圣品·中品：突破成功率提升 44%,item_pill
ip_030,神识丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,24,神识丹,圣品·上品：基础属性提升 50%,item_pill
ip_031,续命丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,21,续命丹,圣品·极品：气血恢复 58%,item_pill
ip_032,破障丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,30,破障丹,圣品·下品：突破成功率提升 38%,item_pill
ip_033,洗髓丹（圣品）,圣品,化神,4,妖兽精血×7+灵髓×1,0,0,16,0,0,27,洗髓丹,圣品·中品：特殊效果 44%,item_pill
ip_034,固金丹（仙品）,仙品,炼虚,5,天材地宝×8+灵髓×1,0,0,18,0,0,19,固金丹,仙品·下品：突破成功率提升 62%,item_pill
ip_035,神识丹（仙品）,仙品,炼虚,5,天材地宝×8+灵髓×1,0,0,18,0,0,17,神识丹,仙品·中品：基础属性提升 70%,item_pill
ip_036,化劫丹（仙品）,仙品,炼虚,5,天材地宝×8+灵髓×1,0,0,18,0,0,15,化劫丹,仙品·上品：特殊效果 80%,item_pill
ip_037,回血丹（仙品）,仙品,炼虚,5,天材地宝×8+灵髓×1,0,0,18,0,0,13,回血丹,仙品·极品：气血恢复 90%,item_pill
ip_038,洗髓丹（道品）,道品,合体,6,大道本源×9+灵髓×1,0,0,20,0,0,8,洗髓丹,道品·极品：特殊效果 150%,item_pill
ip_039,破障丹（道品）,道品,合体,6,大道本源×9+灵髓×1,0,0,20,0,0,9,破障丹,道品·上品：突破成功率提升 130%,item_pill
ip_040,清颜露·凡品（凡品）,凡品,练气,0,一阶灵草×3+花蜜×1,4,0,0,0,0,85,清颜露·凡品,凡品·下品：容貌形态调整 0%,item_pill
ip_041,清颜露·灵品（灵品）,灵品,筑基,1,二阶灵草×5+灵泉×1,11,0,0,0,0,75,清颜露·灵品,灵品·下品：容貌形态调整 0%,item_pill
ip_042,清颜露·宝品（宝品）,宝品,金丹,2,三阶灵草×8+宝晶粉末×1,24,0,1,0,0,65,清颜露·宝品,宝品·下品：容貌形态调整 0%,item_pill
ip_043,清颜露·王品（王品）,王品,元婴,3,四阶灵草×12+玄晶×1,48,0,1,0,0,55,清颜露·王品,王品·下品：容貌形态调整 0%,item_pill
ip_044,驻颜丹（灵品）,灵品,筑基,1,二阶灵草×4+玉露×1,9,0,0,0,0,70,驻颜丹,灵品·中品：青春状态固定 0%,item_pill
